-2956;300;17152;58;212;-19
-2984;364;17172;78;227;-38
-3016;324;17276;61;224;-31
-3028;320;17148;51;259;-44
-2964;332;17232;77;225;-46
-3100;276;17180;82;233;-23
-2956;312;17124;85;276;-39
-2920;304;17076;77;228;-65
-2952;328;17176;79;254;-42
-3084;328;17124;69;217;-23
-2976;300;17120;79;202;-24
-2972;352;17072;79;241;-62
-2960;320;17036;49;250;-29
-3000;328;17232;58;225;-20
-2996;320;17204;77;198;-41
-3048;292;17132;61;235;-45
-2920;308;17072;68;233;-37
-3100;344;17064;72;259;-29
-2960;352;17212;43;238;-33
-3048;308;17072;41;264;-26
-2916;288;17148;40;244;-42
-3036;320;17032;52;217;-47
-3012;376;17212;67;234;-23
-3020;288;17108;90;232;-65
-3024;320;17152;76;229;-46
-3016;276;17124;65;245;-29
-3028;320;17196;62;215;-40
-3000;304;17088;81;241;-62
-3056;324;17152;65;258;-27
-3056;348;17064;75;229;-81
-3004;272;17076;52;243;-27
-2996;320;17148;70;263;-74
-2980;332;17188;66;258;-36
-2988;316;17088;72;249;-54
-3068;320;17124;80;232;-7
-3052;364;17104;54;242;-69
-3032;372;17104;62;237;-23
-2984;284;17020;63;284;-36
-2984;292;17052;65;258;-43
-2968;312;17228;63;224;-42
-3056;300;17136;80;240;-55
-2996;320;17092;52;258;-32
-3012;312;17128;82;266;-18
-3064;252;17020;58;231;-34
-2952;352;17156;67;201;-40
-2992;312;17164;91;248;-55
-3028;368;17148;83;254;-52
-2920;332;17080;52;243;-25
-3004;336;17088;40;225;-43
-2976;260;17136;63;247;-27
-3024;324;17144;66;235;-50
-3016;344;17152;57;239;-73
-2964;304;17184;56;238;-38
-2944;336;17160;58;230;-67
-3008;292;17224;52;221;-43
-2980;324;17132;86;210;-9
-3088;308;17164;76;227;-29
-2944;264;17060;78;214;-57
-2924;296;17044;70;262;-19
-3028;316;17228;60;260;-15
-3040;252;17100;57;201;-52
-2976;268;17088;43;250;-61
-3044;348;17116;53;261;-37
-2936;296;17220;70;261;-47
-3024;280;17180;80;233;-34
-3028;268;17100;52;251;-31
-3044;356;17128;48;275;-11
-2972;320;17108;63;250;-38
-3036;348;17120;72;243;-75
-3004;276;17172;70;250;-25
-3028;376;17156;41;265;-26
-3036;328;17068;73;260;-58
-2944;308;17168;49;272;-53
-2980;308;17100;40;242;-48
-3020;336;17120;62;224;-74
-3020;224;17100;46;244;-20
-2972;336;17100;68;246;-42
-3012;260;17092;72;249;-35
-3068;340;17128;75;219;-59
-2976;280;17112;48;221;-53
-2988;332;17104;57;218;-19
-2992;316;17056;79;274;-35
-3032;364;17148;77;247;-77
-2972;284;17056;53;262;-62
-3120;328;17140;57;214;-49
-3024;372;17024;80;249;-55
-3024;280;17104;84;237;-21
-3012;292;17164;93;212;-49
-3028;308;17192;47;227;-17
-3020;320;16996;48;227;-35
-3012;268;17124;81;222;-15
-3056;332;17128;62;236;-71
-2988;388;17036;66;225;-23
-3024;360;16976;78;226;-57
-3004;308;17108;65;224;-70
-3016;364;17124;62;253;-51
-2964;344;17084;62;255;-50
-2952;344;17032;82;229;-62
-3000;292;17196;79;238;-59
-3040;244;17120;78;245;-50
-2984;296;17152;63;264;-78
-3064;324;17068;33;238;-36
-2992;360;17124;68;244;-23
-2960;384;17068;65;230;-42
-2960;328;17064;79;219;-19
-3044;360;17092;48;239;-54
-2904;388;16932;26;246;-64
-3000;348;17136;59;282;-66
-2984;356;17216;65;225;-44
-3004;372;17172;93;232;-33
-3024;336;17052;82;232;-40
-3072;248;17164;65;242;-55
-2984;268;16992;63;266;-20
-2976;320;17004;97;285;-44
-2984;308;17180;57;237;-21
